id_visita,idPais,idDepartamento,idTiempo,idMotivo,idVia,noches_estadia,gasto_total
1,1,1,1,1,1,8,2233
2,2,2,2,2,1,5,408
3,3,2,3,2,2,7,572
4,1,2,4,3,2,2,241
5,2,3,5,1,1,10,847
6,2,4,6,3,2,10,148
7,2,5,7,4,2,7,224
8,2,6,8,2,1,5,483
9,3,5,9,2,2,6,1629
10,2,6,10,2,1,9,1193
11,4,7,11,2,2,8,699
12,3,6,12,2,2,2,2238
13,2,6,13,2,2,10,1872
14,5,6,14,2,2,6,566
15,2,1,15,1,1,1,2342
16,2,2,16,3,1,8,660
17,2,1,17,3,2,1,564
18,3,7,18,2,1,2,1996
19,2,3,19,2,1,4,1868
20,3,1,20,2,1,10,485
21,2,7,21,2,1,2,1046
22,6,2,22,2,2,5,2200
23,5,5,23,2,2,11,1054
24,2,8,24,4,1,7,389
25,5,2,25,3,1,7,1433
26,3,5,26,2,2,10,2326
27,2,3,27,2,1,5,551
28,2,8,28,2,2,3,1425
29,2,6,29,2,2,5,852
30,5,4,30,2,2,4,1259
31,3,1,31,2,2,6,151
32,2,7,32,3,1,1,1916
33,2,4,33,3,2,1,2091
34,3,6,34,2,2,8,820
35,3,3,35,1,2,6,2033
36,5,3,36,2,2,9,1472
37,6,5,37,1,2,10,2312
38,2,5,38,2,1,1,1693
39,2,4,39,2,2,7,1336
40,2,3,40,2,1,1,1964
41,7,7,39,2,2,7,1925
42,2,2,41,4,1,7,319
43,2,6,42,2,2,8,2448
44,5,1,43,3,2,5,1673
45,2,7,44,3,1,8,1988
46,2,3,45,2,1,10,1071
47,3,1,46,2,2,5,337
48,2,3,47,3,2,9,2039
49,2,5,48,2,2,11,351
50,3,7,49,5,2,8,2053
51,2,5,50,3,2,11,852
52,2,8,51,3,2,7,210
53,8,3,52,4,1,7,800
54,2,1,53,1,1,3,2159
55,5,6,54,1,2,6,1521
56,2,7,55,3,1,6,1428
57,3,3,56,2,2,11,269
58,2,3,57,1,2,5,2244
59,2,7,58,2,1,2,979
60,2,8,59,5,1,10,205
61,3,8,60,3,1,7,805
62,3,7,61,1,1,5,1237
63,2,2,24,2,2,2,1073
64,6,8,62,2,2,4,2278
65,2,8,63,3,1,11,1312
66,3,3,64,4,2,1,1291
67,2,8,65,1,2,8,170
68,3,8,66,1,2,5,1769
69,5,4,67,3,1,8,1009
70,3,5,68,2,1,1,809
71,2,8,69,1,2,8,279
72,2,2,70,2,1,5,998
73,5,8,71,2,1,7,2082
74,2,2,72,3,2,3,1484
75,2,5,73,3,2,3,333
76,2,7,74,2,2,9,1487
77,2,8,75,2,2,7,1612
78,2,5,76,1,1,11,795
79,4,4,77,5,1,6,1919
80,5,5,78,2,2,4,1915
81,3,1,79,3,1,5,1729
82,2,4,80,3,2,8,131
83,3,7,81,2,2,1,1180
84,3,2,4,5,1,2,456
85,3,6,82,3,2,3,2309
86,2,6,83,3,1,11,1183
87,6,4,84,3,2,5,1647
88,3,1,85,3,1,11,1481
89,8,6,86,3,2,8,1974
90,2,2,87,3,2,5,2439
91,2,7,88,1,2,5,2225
92,2,5,89,2,1,6,345
93,5,8,90,3,2,9,2328
94,2,2,91,2,2,9,846
95,7,4,92,2,2,9,1346
96,7,8,93,5,1,11,851
97,3,1,94,2,2,11,1923
98,3,1,95,3,1,5,1416
99,5,3,96,3,2,6,2028
100,5,1,97,1,1,7,1348
101,2,8,98,2,1,3,644
102,5,8,99,3,2,1,2327
103,1,1,100,3,2,2,1500
104,2,7,101,2,2,4,2336
105,8,8,102,2,1,9,2424
106,2,4,103,2,2,1,206
107,2,2,104,2,2,6,2372
108,2,2,105,1,2,4,1888
109,2,7,106,3,2,6,1498
110,7,1,107,3,1,2,2132
111,1,7,108,2,2,2,2489
112,5,8,109,2,1,7,807
113,6,2,110,3,1,5,2221
114,2,2,111,5,2,6,1786
115,2,4,112,1,1,4,1605
116,3,4,113,5,2,1,1476
117,7,8,114,3,1,8,2041
118,2,7,115,2,2,1,2094
119,6,1,116,2,1,8,320
120,3,5,117,5,2,11,391
121,6,1,118,3,1,1,815
122,2,8,119,1,1,10,2345
123,3,6,120,3,2,10,2148
124,5,2,121,1,2,4,216
125,5,8,122,2,1,6,716
