id_visita,fecha,pais_origen,via_ingreso,motivo_viaje,departamento_visitado,noches_estadia,gasto_total,anio,mes,dia,trimestre,gasto_por_noche
1,2024-02-01,Canada,Terrestre,Negocios,Santa Ana,8,2233,2024,2,1,1,279.12
2,2024-12-30,Estados Unidos,Terrestre,Familiares,Sonsonate,5,408,2024,12,30,4,81.6
3,2023-05-11,Guatemala,Aerea,Familiares,Sonsonate,7,572,2023,5,11,2,81.71
4,2024-07-18,Canada,Aerea,Ocio,Sonsonate,2,241,2024,7,18,3,120.5
5,2024-02-05,Estados Unidos,Terrestre,Negocios,San Salvador,10,847,2024,2,5,1,84.7
6,2024-01-01,Estados Unidos,Aerea,Ocio,San Miguel,10,148,2024,1,1,1,14.8
7,2023-11-11,Estados Unidos,Aerea,Salud,La Libertad,7,224,2023,11,11,4,32.0
8,2021-05-02,Estados Unidos,Terrestre,Familiares,La Paz,5,483,2021,5,2,2,96.6
9,2022-04-12,Guatemala,Aerea,Familiares,La Libertad,6,1629,2022,4,12,2,271.5
10,2024-05-23,Estados Unidos,Terrestre,Familiares,La Paz,9,1193,2024,5,23,2,132.56
11,2021-11-27,Mexico,Aerea,Familiares,Usulutan,8,699,2021,11,27,4,87.38
12,2021-03-29,Guatemala,Aerea,Familiares,La Paz,2,2238,2021,3,29,1,1119.0
13,2024-10-28,Estados Unidos,Aerea,Familiares,La Paz,10,1872,2024,10,28,4,187.2
14,2024-01-29,Honduras,Aerea,Familiares,La Paz,6,566,2024,1,29,1,94.33
15,2023-05-22,Estados Unidos,Terrestre,Negocios,Santa Ana,1,2342,2023,5,22,2,2342.0
16,2021-05-11,Estados Unidos,Terrestre,Ocio,Sonsonate,8,660,2021,5,11,2,82.5
17,2024-08-25,Estados Unidos,Aerea,Ocio,Santa Ana,1,564,2024,8,25,3,564.0
18,2023-02-09,Guatemala,Terrestre,Familiares,Usulutan,2,1996,2023,2,9,1,998.0
19,2021-12-10,Estados Unidos,Terrestre,Familiares,San Salvador,4,1868,2021,12,10,4,467.0
20,2024-12-08,Guatemala,Terrestre,Familiares,Santa Ana,10,485,2024,12,8,4,48.5
21,2023-03-17,Estados Unidos,Terrestre,Familiares,Usulutan,2,1046,2023,3,17,1,523.0
22,2022-01-21,España,Aerea,Familiares,Sonsonate,5,2200,2022,1,21,1,440.0
23,2024-04-30,Honduras,Aerea,Familiares,La Libertad,11,1054,2024,4,30,2,95.82
24,2023-08-14,Estados Unidos,Terrestre,Salud,Ahuachapan,7,389,2023,8,14,3,55.57
25,2021-10-04,Honduras,Terrestre,Ocio,Sonsonate,7,1433,2021,10,4,4,204.71
26,2024-03-30,Guatemala,Aerea,Familiares,La Libertad,10,2326,2024,3,30,1,232.6
27,2022-04-05,Estados Unidos,Terrestre,Familiares,San Salvador,5,551,2022,4,5,2,110.2
28,2024-08-30,Estados Unidos,Aerea,Familiares,Ahuachapan,3,1425,2024,8,30,3,475.0
29,2021-01-22,Estados Unidos,Aerea,Familiares,La Paz,5,852,2021,1,22,1,170.4
30,2021-09-10,Honduras,Aerea,Familiares,San Miguel,4,1259,2021,9,10,3,314.75
31,2023-01-18,Guatemala,Aerea,Familiares,Santa Ana,6,151,2023,1,18,1,25.17
32,2023-05-07,Estados Unidos,Terrestre,Ocio,Usulutan,1,1916,2023,5,7,2,1916.0
33,2022-04-20,Estados Unidos,Aerea,Ocio,San Miguel,1,2091,2022,4,20,2,2091.0
34,2023-12-19,Guatemala,Aerea,Familiares,La Paz,8,820,2023,12,19,4,102.5
35,2022-05-26,Guatemala,Aerea,Negocios,San Salvador,6,2033,2022,5,26,2,338.83
36,2022-12-01,Honduras,Aerea,Familiares,San Salvador,9,1472,2022,12,1,4,163.56
37,2023-09-03,España,Aerea,Negocios,La Libertad,10,2312,2023,9,3,3,231.2
38,2021-07-09,Estados Unidos,Terrestre,Familiares,La Libertad,1,1693,2021,7,9,3,1693.0
39,2023-08-16,Estados Unidos,Aerea,Familiares,San Miguel,7,1336,2023,8,16,3,190.86
40,2022-11-18,Estados Unidos,Terrestre,Familiares,San Salvador,1,1964,2022,11,18,4,1964.0
41,2023-08-16,Nicaragua,Aerea,Familiares,Usulutan,7,1925,2023,8,16,3,275.0
42,2022-07-17,Estados Unidos,Terrestre,Salud,Sonsonate,7,319,2022,7,17,3,45.57
43,2024-06-21,Estados Unidos,Aerea,Familiares,La Paz,8,2448,2024,6,21,2,306.0
44,2023-04-12,Honduras,Aerea,Ocio,Santa Ana,5,1673,2023,4,12,2,334.6
45,2024-02-29,Estados Unidos,Terrestre,Ocio,Usulutan,8,1988,2024,2,29,1,248.5
46,2022-10-09,Estados Unidos,Terrestre,Familiares,San Salvador,10,1071,2022,10,9,4,107.1
47,2021-01-21,Guatemala,Aerea,Familiares,Santa Ana,5,337,2021,1,21,1,67.4
48,2023-04-21,Estados Unidos,Aerea,Ocio,San Salvador,9,2039,2023,4,21,2,226.56
49,2021-06-16,Estados Unidos,Aerea,Familiares,La Libertad,11,351,2021,6,16,2,31.91
50,2024-07-21,Guatemala,Aerea,Religioso,Usulutan,8,2053,2024,7,21,3,256.62
51,2022-01-23,Estados Unidos,Aerea,Ocio,La Libertad,11,852,2022,1,23,1,77.45
52,2022-08-24,Estados Unidos,Aerea,Ocio,Ahuachapan,7,210,2022,8,24,3,30.0
53,2021-11-12,Costa Rica,Terrestre,Salud,San Salvador,7,800,2021,11,12,4,114.29
54,2021-01-14,Estados Unidos,Terrestre,Negocios,Santa Ana,3,2159,2021,1,14,1,719.67
55,2021-08-30,Honduras,Aerea,Negocios,La Paz,6,1521,2021,8,30,3,253.5
56,2023-02-16,Estados Unidos,Terrestre,Ocio,Usulutan,6,1428,2023,2,16,1,238.0
57,2024-10-01,Guatemala,Aerea,Familiares,San Salvador,11,269,2024,10,1,4,24.45
58,2022-07-19,Estados Unidos,Aerea,Negocios,San Salvador,5,2244,2022,7,19,3,448.8
59,2023-06-17,Estados Unidos,Terrestre,Familiares,Usulutan,2,979,2023,6,17,2,489.5
60,2024-09-25,Estados Unidos,Terrestre,Religioso,Ahuachapan,10,205,2024,9,25,3,20.5
61,2021-04-02,Guatemala,Terrestre,Ocio,Ahuachapan,7,805,2021,4,2,2,115.0
62,2024-10-22,Guatemala,Terrestre,Negocios,Usulutan,5,1237,2024,10,22,4,247.4
63,2023-08-14,Estados Unidos,Aerea,Familiares,Sonsonate,2,1073,2023,8,14,3,536.5
64,2024-12-22,España,Aerea,Familiares,Ahuachapan,4,2278,2024,12,22,4,569.5
65,2022-05-24,Estados Unidos,Terrestre,Ocio,Ahuachapan,11,1312,2022,5,24,2,119.27
66,2023-02-15,Guatemala,Aerea,Salud,San Salvador,1,1291,2023,2,15,1,1291.0
67,2021-02-04,Estados Unidos,Aerea,Negocios,Ahuachapan,8,170,2021,2,4,1,21.25
68,2021-07-25,Guatemala,Aerea,Negocios,Ahuachapan,5,1769,2021,7,25,3,353.8
69,2024-01-10,Honduras,Terrestre,Ocio,San Miguel,8,1009,2024,1,10,1,126.12
70,2024-11-12,Guatemala,Terrestre,Familiares,La Libertad,1,809,2024,11,12,4,809.0
71,2023-10-23,Estados Unidos,Aerea,Negocios,Ahuachapan,8,279,2023,10,23,4,34.88
72,2023-10-19,Estados Unidos,Terrestre,Familiares,Sonsonate,5,998,2023,10,19,4,199.6
73,2024-11-14,Honduras,Terrestre,Familiares,Ahuachapan,7,2082,2024,11,14,4,297.43
74,2022-07-20,Estados Unidos,Aerea,Ocio,Sonsonate,3,1484,2022,7,20,3,494.67
75,2024-02-04,Estados Unidos,Aerea,Ocio,La Libertad,3,333,2024,2,4,1,111.0
76,2022-12-04,Estados Unidos,Aerea,Familiares,Usulutan,9,1487,2022,12,4,4,165.22
77,2022-02-06,Estados Unidos,Aerea,Familiares,Ahuachapan,7,1612,2022,2,6,1,230.29
78,2022-12-31,Estados Unidos,Terrestre,Negocios,La Libertad,11,795,2022,12,31,4,72.27
79,2021-06-11,Mexico,Terrestre,Religioso,San Miguel,6,1919,2021,6,11,2,319.83
80,2021-07-21,Honduras,Aerea,Familiares,La Libertad,4,1915,2021,7,21,3,478.75
81,2023-09-23,Guatemala,Terrestre,Ocio,Santa Ana,5,1729,2023,9,23,3,345.8
