fecha,anio,mes,dia,trimestre,idTiempo
2024-02-01,2024,2,1,1,1
2024-12-30,2024,12,30,4,2
2023-05-11,2023,5,11,2,3
2024-07-18,2024,7,18,3,4
2024-02-05,2024,2,5,1,5
2024-01-01,2024,1,1,1,6
2023-11-11,2023,11,11,4,7
2021-05-02,2021,5,2,2,8
2022-04-12,2022,4,12,2,9
2024-05-23,2024,5,23,2,10
2021-11-27,2021,11,27,4,11
2021-03-29,2021,3,29,1,12
2024-10-28,2024,10,28,4,13
2024-01-29,2024,1,29,1,14
2023-05-22,2023,5,22,2,15
2021-05-11,2021,5,11,2,16
2024-08-25,2024,8,25,3,17
2023-02-09,2023,2,9,1,18
2021-12-10,2021,12,10,4,19
2024-12-08,2024,12,8,4,20
2023-03-17,2023,3,17,1,21
2022-01-21,2022,1,21,1,22
2024-04-30,2024,4,30,2,23
2023-08-14,2023,8,14,3,24
2021-10-04,2021,10,4,4,25
2024-03-30,2024,3,30,1,26
2022-04-05,2022,4,5,2,27
2024-08-30,2024,8,30,3,28
2021-01-22,2021,1,22,1,29
2021-09-10,2021,9,10,3,30
2023-01-18,2023,1,18,1,31
2023-05-07,2023,5,7,2,32
2022-04-20,2022,4,20,2,33
2023-12-19,2023,12,19,4,34
2022-05-26,2022,5,26,2,35
2022-12-01,2022,12,1,4,36
2023-09-03,2023,9,3,3,37
2021-07-09,2021,7,9,3,38
2023-08-16,2023,8,16,3,39
2022-11-18,2022,11,18,4,40
2022-07-17,2022,7,17,3,41
2024-06-21,2024,6,21,2,42
2023-04-12,2023,4,12,2,43
2024-02-29,2024,2,29,1,44
2022-10-09,2022,10,9,4,45
2021-01-21,2021,1,21,1,46
2023-04-21,2023,4,21,2,47
2021-06-16,2021,6,16,2,48
2024-07-21,2024,7,21,3,49
2022-01-23,2022,1,23,1,50
2022-08-24,2022,8,24,3,51
2021-11-12,2021,11,12,4,52
2021-01-14,2021,1,14,1,53
2021-08-30,2021,8,30,3,54
2023-02-16,2023,2,16,1,55
2024-10-01,2024,10,1,4,56
2022-07-19,2022,7,19,3,57
2023-06-17,2023,6,17,2,58
2024-09-25,2024,9,25,3,59
2021-04-02,2021,4,2,2,60
2024-10-22,2024,10,22,4,61
2024-12-22,2024,12,22,4,62
2022-05-24,2022,5,24,2,63
2023-02-15,2023,2,15,1,64
2021-02-04,2021,2,4,1,65
2021-07-25,2021,7,25,3,66
2024-01-10,2024,1,10,1,67
2024-11-12,2024,11,12,4,68
2023-10-23,2023,10,23,4,69
2023-10-19,2023,10,19,4,70
2024-11-14,2024,11,14,4,71
2022-07-20,2022,7,20,3,72
2024-02-04,2024,2,4,1,73
2022-12-04,2022,12,4,4,74
2022-02-06,2022,2,6,1,75
2022-12-31,2022,12,31,4,76
2021-06-11,2021,6,11,2,77
2021-07-21,2021,7,21,3,78
2023-09-23,2023,9,23,3,79
2021-09-27,2021,9,27,3,80
2023-03-27,2023,3,27,1,81
2022-04-01,2022,4,1,2,82
2024-06-29,2024,6,29,2,83
2023-10-14,2023,10,14,4,84
2021-10-23,2021,10,23,4,85
2022-12-21,2022,12,21,4,86
2021-12-04,2021,12,4,4,87
2023-05-29,2023,5,29,2,88
2023-12-13,2023,12,13,4,89
2023-03-03,2023,3,3,1,90
2021-08-05,2021,8,5,3,91
2023-02-03,2023,2,3,1,92
2021-07-07,2021,7,7,3,93
2022-01-15,2022,1,15,1,94
2022-05-08,2022,5,8,2,95
2023-12-01,2023,12,1,4,96
2024-03-26,2024,3,26,1,97
2021-01-15,2021,1,15,1,98
2021-03-06,2021,3,6,1,99
2022-06-05,2022,6,5,2,100
2024-09-29,2024,9,29,3,101
2024-02-27,2024,2,27,1,102
2022-10-10,2022,10,10,4,103
2023-12-23,2023,12,23,4,104
2024-03-08,2024,3,8,1,105
2022-08-16,2022,8,16,3,106
2022-01-27,2022,1,27,1,107
2022-02-23,2022,2,23,1,108
2021-10-16,2021,10,16,4,109
2022-01-14,2022,1,14,1,110
2021-08-19,2021,8,19,3,111
2023-10-15,2023,10,15,4,112
2021-02-10,2021,2,10,1,113
2023-11-18,2023,11,18,4,114
2021-05-15,2021,5,15,2,115
2021-07-20,2021,7,20,3,116
2023-02-19,2023,2,19,1,117
2023-07-19,2023,7,19,3,118
2023-11-23,2023,11,23,4,119
2023-12-08,2023,12,8,4,120
2022-05-18,2022,5,18,2,121
2022-02-11,2022,2,11,1,122
2023-03-16,2023,3,16,1,123
2021-04-09,2021,4,9,2,124
2022-11-15,2022,11,15,4,125
2022-12-27,2022,12,27,4,126
2023-08-19,2023,8,19,3,127
2022-09-05,2022,9,5,3,128
2022-10-05,2022,10,5,4,129
2023-10-26,2023,10,26,4,130
