anio,mes,empleos,sector,fecha,trimestre,crecimiento_empleo_pct,nivel_empleo
2021,1,61848,Turismo,2021-01-01,1,0.0,Medio
2021,2,65836,Turismo,2021-02-01,1,6.45,Medio
2021,3,64123,Turismo,2021-03-01,1,-2.6,Medio
2021,4,67691,Turismo,2021-04-01,2,5.56,Medio
2021,5,55155,Turismo,2021-05-01,2,-18.52,Medio
2021,6,59439,Turismo,2021-06-01,2,7.77,Medio
2021,7,68639,Turismo,2021-07-01,3,15.48,Medio
2021,8,54885,Turismo,2021-08-01,3,-20.04,Medio
2021,9,53095,Turismo,2021-09-01,3,-3.26,Medio
2021,10,56150,Turismo,2021-10-01,4,5.75,Medio
2021,11,54674,Turismo,2021-11-01,4,-2.63,Medio
2021,12,59677,Turismo,2021-12-01,4,9.15,Medio
2022,1,56806,Turismo,2022-01-01,1,-4.81,Medio
2022,2,68235,Turismo,2022-02-01,1,20.12,Medio
2022,3,57367,Turismo,2022-03-01,1,-15.93,Medio
2022,4,56767,Turismo,2022-04-01,2,-1.05,Medio
2022,5,66550,Turismo,2022-05-01,2,17.23,Medio
2022,6,65531,Turismo,2022-06-01,2,-1.53,Medio
2022,7,58293,Turismo,2022-07-01,3,-11.05,Medio
2022,8,67347,Turismo,2022-08-01,3,15.53,Medio
2022,9,67497,Turismo,2022-09-01,3,0.22,Medio
2022,10,59011,Turismo,2022-10-01,4,-12.57,Medio
2022,11,53654,Turismo,2022-11-01,4,-9.08,Medio
2022,12,52224,Turismo,2022-12-01,4,-2.67,Medio
2023,1,67038,Turismo,2023-01-01,1,28.37,Medio
2023,2,52994,Turismo,2023-02-01,1,-20.95,Medio
2023,3,69294,Turismo,2023-03-01,1,30.76,Medio
2023,4,53283,Turismo,2023-04-01,2,-23.11,Medio
2023,5,62374,Turismo,2023-05-01,2,17.06,Medio
2023,6,60734,Turismo,2023-06-01,2,-2.63,Medio
2023,7,63994,Turismo,2023-07-01,3,5.37,Medio
2023,8,62959,Turismo,2023-08-01,3,-1.62,Medio
2023,9,68228,Turismo,2023-09-01,3,8.37,Medio
2023,10,62814,Turismo,2023-10-01,4,-7.94,Medio
2023,11,55208,Turismo,2023-11-01,4,-12.11,Medio
2023,12,63567,Turismo,2023-12-01,4,15.14,Medio
2024,1,62113,Turismo,2024-01-01,1,-2.29,Medio
2024,2,53089,Turismo,2024-02-01,1,-14.53,Medio
2024,3,69704,Turismo,2024-03-01,1,31.3,Medio
2024,4,65483,Turismo,2024-04-01,2,-6.06,Medio
2024,5,62588,Turismo,2024-05-01,2,-4.42,Medio
2024,6,68690,Turismo,2024-06-01,2,9.75,Medio
2024,7,56382,Turismo,2024-07-01,3,-17.92,Medio
2024,8,55725,Turismo,2024-08-01,3,-1.17,Medio
2024,9,69249,Turismo,2024-09-01,3,24.27,Medio
2024,10,63926,Turismo,2024-10-01,4,-7.69,Medio
2024,11,69482,Turismo,2024-11-01,4,8.69,Medio
2024,12,62107,Turismo,2024-12-01,4,-10.61,Medio
