id_reserva,fecha,departamento,tipo_hotel,habitaciones,ocupadas,tarifa_promedio,anio,mes,dia,trimestre,porcentaje_ocupacion,nivel_ocupacion,ingreso_estimado
2,2021-06-06,San Miguel,Rural,195,61,53,2021,6,6,2,31.28205128205128,Baja,3233
3,2023-12-29,Santa Ana,Ciudad,178,48,54,2023,12,29,4,26.96629213483146,Baja,2592
4,2023-01-14,Santa Ana,Montaña,89,39,106,2023,1,14,1,43.82022471910113,Media,4134
5,2024-06-22,La Paz,Ciudad,181,87,150,2024,6,22,2,48.06629834254144,Media,13050
8,2023-08-06,San Salvador,Ciudad,124,46,92,2023,8,6,3,37.096774193548384,Baja,4232
9,2023-10-02,Usulutan,Playa,82,64,246,2023,10,2,4,78.04878048780488,Alta,15744
10,2023-07-17,La Paz,Ciudad,102,57,175,2023,7,17,3,55.88235294117647,Media,9975
11,2023-06-03,San Salvador,Rural,126,24,139,2023,6,3,2,19.047619047619047,Baja,3336
13,2024-10-13,Sonsonate,Montaña,44,27,63,2024,10,13,4,61.36363636363637,Media,1701
17,2023-07-13,San Salvador,Rural,27,25,146,2023,7,13,3,92.5925925925926,Alta,3650
18,2023-08-06,La Libertad,Playa,133,77,127,2023,8,6,3,57.89473684210527,Media,9779
21,2022-12-05,Ahuachapan,Playa,111,50,36,2022,12,5,4,45.04504504504504,Media,1800
22,2022-01-15,Usulutan,Rural,149,8,140,2022,1,15,1,5.369127516778524,Baja,1120
23,2024-03-19,San Salvador,Montaña,195,7,243,2024,3,19,1,3.5897435897435894,Baja,1701
24,2024-10-03,San Salvador,Playa,186,106,126,2024,10,3,4,56.98924731182796,Media,13356
33,2024-02-08,San Salvador,Ciudad,149,7,143,2024,2,8,1,4.697986577181208,Baja,1001
34,2022-09-21,Santa Ana,Rural,141,45,49,2022,9,21,3,31.914893617021278,Baja,2205
36,2023-01-26,La Libertad,Playa,159,102,216,2023,1,26,1,64.15094339622641,Media,22032
37,2022-07-01,San Salvador,Montaña,135,133,131,2022,7,1,3,98.51851851851852,Alta,17423
38,2024-05-14,La Paz,Ciudad,114,15,241,2024,5,14,2,13.157894736842104,Baja,3615
42,2022-10-17,San Salvador,Playa,41,33,119,2022,10,17,4,80.48780487804879,Alta,3927
46,2021-02-13,Sonsonate,Ciudad,162,62,60,2021,2,13,1,38.2716049382716,Baja,3720
48,2022-03-22,Ahuachapan,Ciudad,196,43,117,2022,3,22,1,21.93877551020408,Baja,5031
50,2022-03-20,Ahuachapan,Rural,127,121,211,2022,3,20,1,95.2755905511811,Alta,25531
51,2021-07-14,Usulutan,Rural,195,11,186,2021,7,14,3,5.641025641025641,Baja,2046
54,2023-08-16,La Libertad,Rural,197,5,230,2023,8,16,3,2.5380710659898478,Baja,1150
55,2021-06-15,La Paz,Montaña,106,92,249,2021,6,15,2,86.79245283018868,Alta,22908
56,2021-11-11,Ahuachapan,Rural,93,93,148,2021,11,11,4,100.0,Alta,13764
57,2021-06-10,Santa Ana,Playa,98,69,51,2021,6,10,2,70.40816326530613,Alta,3519
59,2022-04-26,La Paz,Montaña,153,47,153,2022,4,26,2,30.718954248366014,Baja,7191
61,2021-09-28,Santa Ana,Playa,114,61,46,2021,9,28,3,53.50877192982456,Media,2806
62,2024-05-04,La Libertad,Playa,156,25,191,2024,5,4,2,16.025641025641026,Baja,4775
64,2021-10-24,Sonsonate,Playa,186,112,166,2021,10,24,4,60.215053763440864,Media,18592
65,2021-11-19,Santa Ana,Playa,162,161,83,2021,11,19,4,99.38271604938271,Alta,13363
66,2022-09-02,San Miguel,Playa,178,157,184,2022,9,2,3,88.20224719101124,Alta,28888
68,2022-09-25,San Salvador,Montaña,147,34,65,2022,9,25,3,23.12925170068027,Baja,2210
69,2021-01-16,Usulutan,Rural,193,77,40,2021,1,16,1,39.89637305699482,Baja,3080
70,2021-12-11,Usulutan,Rural,67,28,232,2021,12,11,4,41.7910447761194,Media,6496
71,2023-09-12,Santa Ana,Playa,78,16,167,2023,9,12,3,20.51282051282051,Baja,2672
72,2022-12-08,Sonsonate,Montaña,102,81,43,2022,12,8,4,79.41176470588235,Alta,3483
75,2022-02-09,La Libertad,Montaña,150,101,90,2022,2,9,1,67.33333333333333,Media,9090
77,2022-09-12,La Libertad,Ciudad,181,28,44,2022,9,12,3,15.469613259668508,Baja,1232
78,2021-05-23,Usulutan,Montaña,185,83,190,2021,5,23,2,44.86486486486487,Media,15770
81,2022-08-07,La Libertad,Rural,32,24,245,2022,8,7,3,75.0,Alta,5880
84,2023-01-21,Sonsonate,Rural,70,63,102,2023,1,21,1,90.0,Alta,6426
86,2022-11-30,San Miguel,Playa,161,29,50,2022,11,30,4,18.012422360248447,Baja,1450
87,2024-11-27,La Libertad,Ciudad,125,54,117,2024,11,27,4,43.2,Media,6318
89,2023-12-11,Usulutan,Rural,186,77,247,2023,12,11,4,41.39784946236559,Media,19019
91,2021-01-31,La Paz,Montaña,54,53,153,2021,1,31,1,98.14814814814815,Alta,8109
92,2024-08-20,Sonsonate,Playa,185,36,233,2024,8,20,3,19.45945945945946,Baja,8388
94,2022-10-28,Ahuachapan,Ciudad,25,11,222,2022,10,28,4,44.0,Media,2442
95,2021-06-05,La Paz,Ciudad,185,65,154,2021,6,5,2,35.13513513513514,Baja,10010
96,2024-01-24,La Paz,Playa,104,101,187,2024,1,24,1,97.11538461538461,Alta,18887
97,2022-03-18,La Paz,Ciudad,156,41,72,2022,3,18,1,26.282051282051285,Baja,2952
98,2021-03-03,Ahuachapan,Rural,112,74,135,2021,3,3,1,66.07142857142857,Media,9990
99,2024-10-13,San Miguel,Playa,193,83,196,2024,10,13,4,43.005181347150256,Media,16268
100,2023-11-05,La Paz,Montaña,142,21,165,2023,11,5,4,14.788732394366196,Baja,3465
101,2024-05-29,Ahuachapan,Montaña,102,42,248,2024,5,29,2,41.17647058823529,Media,10416
105,2024-10-29,San Salvador,Ciudad,166,159,47,2024,10,29,4,95.78313253012048,Alta,7473
107,2022-04-26,San Miguel,Playa,95,86,100,2022,4,26,2,90.52631578947368,Alta,8600
109,2021-12-07,Usulutan,Playa,117,92,174,2021,12,7,4,78.63247863247864,Alta,16008
110,2022-02-23,Usulutan,Rural,110,98,167,2022,2,23,1,89.0909090909091,Alta,16366
114,2024-04-06,Santa Ana,Ciudad,116,27,144,2024,4,6,2,23.275862068965516,Baja,3888
117,2023-09-28,San Salvador,Playa,196,17,48,2023,9,28,3,8.673469387755102,Baja,816
118,2022-04-20,La Paz,Montaña,180,11,173,2022,4,20,2,6.111111111111111,Baja,1903
119,2021-08-14,Sonsonate,Montaña,168,144,89,2021,8,14,3,85.71428571428571,Alta,12816
121,2022-03-15,Ahuachapan,Playa,123,31,213,2022,3,15,1,25.203252032520325,Baja,6603
122,2021-06-09,San Miguel,Ciudad,66,26,201,2021,6,9,2,39.39393939393939,Baja,5226
123,2023-08-13,La Libertad,Ciudad,170,119,90,2023,8,13,3,70.0,Alta,10710
124,2022-12-04,Sonsonate,Montaña,196,146,151,2022,12,4,4,74.48979591836735,Alta,22046
126,2023-10-12,Santa Ana,Rural,74,12,170,2023,10,12,4,16.216216216216218,Baja,2040
128,2022-12-24,San Salvador,Ciudad,166,147,228,2022,12,24,4,88.55421686746988,Alta,33516
129,2024-01-08,Sonsonate,Montaña,150,61,211,2024,1,8,1,40.666666666666664,Media,12871
132,2024-05-02,Santa Ana,Rural,199,23,141,2024,5,2,2,11.557788944723619,Baja,3243
133,2022-04-04,Ahuachapan,Rural,153,114,223,2022,4,4,2,74.50980392156863,Alta,25422
134,2023-04-04,Santa Ana,Montaña,182,14,243,2023,4,4,2,7.6923076923076925,Baja,3402
136,2021-06-30,San Salvador,Playa,158,129,192,2021,6,30,2,81.64556962025317,Alta,24768
137,2022-03-29,San Salvador,Ciudad,97,60,130,2022,3,29,1,61.855670103092784,Media,7800
138,2023-10-21,Usulutan,Ciudad,185,85,81,2023,10,21,4,45.94594594594595,Media,6885
145,2023-06-18,Usulutan,Montaña,180,16,229,2023,6,18,2,8.88888888888889,Baja,3664
146,2023-01-26,Ahuachapan,Ciudad,132,37,37,2023,1,26,1,28.030303030303028,Baja,1369
147,2023-07-09,La Paz,Ciudad,189,162,233,2023,7,9,3,85.71428571428571,Alta,37746
148,2024-07-08,Usulutan,Montaña,84,55,44,2024,7,8,3,65.47619047619048,Media,2420
149,2022-06-09,Usulutan,Playa,159,155,190,2022,6,9,2,97.48427672955975,Alta,29450
151,2021-05-30,Usulutan,Rural,157,155,171,2021,5,30,2,98.72611464968153,Alta,26505
154,2022-11-15,San Miguel,Montaña,132,20,60,2022,11,15,4,15.151515151515152,Baja,1200
156,2024-07-19,Sonsonate,Ciudad,173,113,73,2024,7,19,3,65.3179190751445,Media,8249
162,2024-12-29,Sonsonate,Ciudad,148,131,119,2024,12,29,4,88.51351351351352,Alta,15589
165,2022-01-14,La Paz,Rural,188,36,148,2022,1,14,1,19.148936170212767,Baja,5328
166,2024-02-02,La Libertad,Ciudad,186,125,47,2024,2,2,1,67.20430107526882,Media,5875
167,2024-12-05,La Libertad,Playa,198,117,247,2024,12,5,4,59.09090909090909,Media,28899
168,2021-11-28,Sonsonate,Rural,169,168,86,2021,11,28,4,99.40828402366864,Alta,14448
169,2024-06-25,San Miguel,Montaña,150,74,56,2024,6,25,2,49.333333333333336,Media,4144
174,2021-02-03,San Miguel,Montaña,198,52,147,2021,2,3,1,26.262626262626267,Baja,7644
175,2022-07-19,Sonsonate,Ciudad,74,61,41,2022,7,19,3,82.43243243243244,Alta,2501
176,2021-09-24,San Miguel,Rural,165,115,65,2021,9,24,3,69.6969696969697,Media,7475
177,2024-07-24,San Salvador,Montaña,136,107,42,2024,7,24,3,78.67647058823529,Alta,4494
178,2021-01-19,La Libertad,Rural,166,68,135,2021,1,19,1,40.963855421686745,Media,9180
180,2024-12-01,La Libertad,Montaña,99,21,174,2024,12,1,4,21.21212121212121,Baja,3654
181,2022-07-16,La Libertad,Rural,164,152,46,2022,7,16,3,92.6829268292683,Alta,6992
182,2021-07-04,La Libertad,Rural,191,148,144,2021,7,4,3,77.4869109947644,Alta,21312
183,2022-07-14,La Libertad,Playa,65,61,215,2022,7,14,3,93.84615384615384,Alta,13115
190,2021-12-30,La Libertad,Montaña,131,78,149,2021,12,30,4,59.541984732824424,Media,11622
191,2022-07-31,La Libertad,Ciudad,50,34,234,2022,7,31,3,68.0,Media,7956
194,2022-07-19,La Paz,Ciudad,163,74,119,2022,7,19,3,45.39877300613497,Media,8806
196,2024-10-19,Usulutan,Rural,128,27,160,2024,10,19,4,21.09375,Baja,4320
197,2021-11-28,Usulutan,Ciudad,29,24,152,2021,11,28,4,82.75862068965517,Alta,3648
198,2024-06-19,Santa Ana,Montaña,25,21,177,2024,6,19,2,84.0,Alta,3717
200,2023-12-05,San Miguel,Montaña,123,81,128,2023,12,5,4,65.85365853658537,Media,10368
203,2021-08-01,San Miguel,Montaña,110,103,220,2021,8,1,3,93.63636363636364,Alta,22660
207,2022-01-03,San Salvador,Ciudad,158,20,70,2022,1,3,1,12.658227848101266,Baja,1400
209,2022-07-14,La Paz,Montaña,136,48,234,2022,7,14,3,35.294117647058826,Baja,11232
213,2024-12-24,Usulutan,Rural,177,69,229,2024,12,24,4,38.983050847457626,Baja,15801
216,2021-11-08,Santa Ana,Ciudad,169,88,243,2021,11,8,4,52.071005917159766,Media,21384
217,2021-02-27,San Miguel,Playa,119,106,90,2021,2,27,1,89.07563025210085,Alta,9540
