anio,mes,turistas,ingreso_usd,fecha,trimestre,gasto_promedio_turista,ingreso_millones,nivel_ingreso
2021,1,193676,75034127,2021-01-01,1,387.42,75.03,Medio
2021,2,163338,135985231,2021-02-01,1,832.54,135.99,Alto
2021,3,282324,96732112,2021-03-01,1,342.63,96.73,Medio
2021,4,91653,296250754,2021-04-01,2,3232.31,296.25,Alto
2021,5,124979,64420115,2021-05-01,2,515.45,64.42,Medio
2021,6,86651,297980263,2021-06-01,2,3438.86,297.98,Alto
2021,7,246940,157583524,2021-07-01,3,638.14,157.58,Alto
2021,8,198884,42385832,2021-08-01,3,213.12,42.39,Bajo
2021,9,121815,87940292,2021-09-01,3,721.92,87.94,Medio
2021,10,203395,92502699,2021-10-01,4,454.79,92.5,Medio
2021,11,290197,283105832,2021-11-01,4,975.56,283.11,Alto
2021,12,69354,83248529,2021-12-01,4,1200.34,83.25,Medio
2022,1,165873,221331454,2022-01-01,1,1334.34,221.33,Alto
2022,2,264270,82903606,2022-02-01,1,313.71,82.9,Medio
2022,3,279686,267751373,2022-03-01,1,957.33,267.75,Alto
2022,4,220643,215366806,2022-04-01,2,976.09,215.37,Alto
2022,5,194700,193656597,2022-05-01,2,994.64,193.66,Alto
2022,6,54163,275369916,2022-06-01,2,5084.1,275.37,Alto
2022,7,188332,238661450,2022-07-01,3,1267.24,238.66,Alto
2022,8,287908,24746666,2022-08-01,3,85.95,24.75,Bajo
2022,9,111544,114526344,2022-09-01,3,1026.74,114.53,Alto
2022,10,79974,112311850,2022-10-01,4,1404.35,112.31,Alto
2022,11,132816,159467608,2022-11-01,4,1200.67,159.47,Alto
2022,12,108420,274662230,2022-12-01,4,2533.32,274.66,Alto
2023,1,251782,57836906,2023-01-01,1,229.71,57.84,Medio
2023,2,291712,177874019,2023-02-01,1,609.76,177.87,Alto
2023,3,109815,212591065,2023-03-01,1,1935.9,212.59,Alto
2023,4,192946,101902517,2023-04-01,2,528.14,101.9,Alto
2023,5,68021,75452798,2023-05-01,2,1109.26,75.45,Medio
2023,6,211846,255724083,2023-06-01,2,1207.12,255.72,Alto
2023,7,266674,182277489,2023-07-01,3,683.52,182.28,Alto
2023,8,185040,196379613,2023-08-01,3,1061.28,196.38,Alto
2023,9,237520,259413508,2023-09-01,3,1092.18,259.41,Alto
2023,10,168620,90685260,2023-10-01,4,537.81,90.69,Medio
2023,11,257182,89784139,2023-11-01,4,349.11,89.78,Medio
2023,12,210808,178529715,2023-12-01,4,846.88,178.53,Alto
2024,1,133608,162432906,2024-01-01,1,1215.74,162.43,Alto
2024,2,213687,127619010,2024-02-01,1,597.22,127.62,Alto
2024,3,267451,262136897,2024-03-01,1,980.13,262.14,Alto
2024,4,275565,140914554,2024-04-01,2,511.37,140.91,Alto
2024,5,94542,272617767,2024-05-01,2,2883.56,272.62,Alto
2024,6,135756,35042441,2024-06-01,2,258.13,35.04,Bajo
2024,7,100110,100293467,2024-07-01,3,1001.83,100.29,Alto
2024,8,216307,50292790,2024-08-01,3,232.51,50.29,Medio
2024,9,231844,57058713,2024-09-01,3,246.11,57.06,Medio
2024,10,196777,209548235,2024-10-01,4,1064.9,209.55,Alto
2024,11,286236,53298703,2024-11-01,4,186.21,53.3,Medio
2024,12,72675,167318118,2024-12-01,4,2302.28,167.32,Alto
