id_visita_parque,fecha,parque,pais_origen,gasto_estimado,anio,mes,dia,trimestre,categoria_gasto
1,2022-11-07,Puerta Del Diablo,Canada,59,2022,11,7,4,Medio
2,2024-02-23,Amulapa,Costa Rica,59,2024,2,23,1,Medio
3,2021-07-09,Sunset Park,Mexico,74,2021,7,9,3,Alto
4,2024-03-21,Puerta Del Diablo,España,64,2024,3,21,1,Alto
5,2024-03-21,Sunset Park,Costa Rica,29,2024,3,21,1,Bajo
6,2024-05-30,Amulapa,Nicaragua,79,2024,5,30,2,Alto
7,2023-10-21,Apulo,Nicaragua,50,2023,10,21,4,Medio
8,2023-12-13,Apulo,Mexico,74,2023,12,13,4,Alto
9,2023-11-26,Apulo,España,50,2023,11,26,4,Medio
10,2022-06-27,Puerta Del Diablo,Nicaragua,27,2022,6,27,2,Bajo
11,2021-02-16,Cerro Verde,Canada,36,2021,2,16,1,Medio
12,2021-08-07,Sunset Park,Nicaragua,47,2021,8,7,3,Medio
13,2021-12-28,Sunset Park,Guatemala,25,2021,12,28,4,Bajo
14,2024-11-15,Puerta Del Diablo,Guatemala,76,2024,11,15,4,Alto
15,2021-11-03,Cerro Verde,España,72,2021,11,3,4,Alto
16,2024-03-25,Puerta Del Diablo,Canada,20,2024,3,25,1,Bajo
17,2023-12-25,Sunset Park,Honduras,63,2023,12,25,4,Alto
18,2023-03-04,Cerro Verde,España,53,2023,3,4,1,Medio
19,2022-09-09,Apulo,Costa Rica,44,2022,9,9,3,Medio
20,2021-09-06,Amulapa,Costa Rica,51,2021,9,6,3,Medio
21,2023-02-02,Apulo,Nicaragua,35,2023,2,2,1,Medio
22,2022-08-14,Amulapa,Estados Unidos,76,2022,8,14,3,Alto
23,2024-01-29,Apulo,Honduras,33,2024,1,29,1,Medio
24,2024-09-29,Balboa,Mexico,10,2024,9,29,3,Bajo
25,2023-12-20,Balboa,Honduras,15,2023,12,20,4,Bajo
26,2023-05-23,Apulo,Mexico,68,2023,5,23,2,Alto
27,2024-07-21,Sunset Park,Costa Rica,29,2024,7,21,3,Bajo
28,2021-11-23,Cerro Verde,Mexico,72,2021,11,23,4,Alto
29,2024-04-02,Sunset Park,Guatemala,45,2024,4,2,2,Medio
30,2024-03-15,Balboa,Guatemala,35,2024,3,15,1,Medio
