anio,mes,empleos,sector
2021,1,61848,Turismo
2021,2,65836,Turismo
2021,3,64123,Turismo
2021,4,67691,Turismo
2021,5,55155,Turismo
2021,6,59439,Turismo
2021,7,68639,Turismo
2021,8,54885,Turismo
2021,9,53095,Turismo
2021,10,56150,Turismo
2021,11,54674,Turismo
2021,12,59677,Turismo
2022,1,56806,Turismo
2022,2,68235,Turismo
2022,3,57367,Turismo
2022,4,56767,Turismo
2022,5,66550,Turismo
2022,6,65531,Turismo
2022,7,58293,Turismo
2022,8,67347,Turismo
2022,9,67497,Turismo
2022,10,59011,Turismo
2022,11,53654,Turismo
2022,12,52224,Turismo
2023,1,67038,Turismo
2023,2,52994,Turismo
2023,3,69294,Turismo
2023,4,53283,Turismo
2023,5,62374,Turismo
2023,6,60734,Turismo
2023,7,63994,Turismo
2023,8,62959,Turismo
2023,9,68228,Turismo
2023,10,62814,Turismo
2023,11,55208,Turismo
2023,12,63567,Turismo
2024,1,62113,Turismo
2024,2,53089,Turismo
2024,3,69704,Turismo
2024,4,65483,Turismo
2024,5,62588,Turismo
2024,6,68690,Turismo
2024,7,56382,Turismo
2024,8,55725,Turismo
2024,9,69249,Turismo
2024,10,63926,Turismo
2024,11,69482,Turismo
2024,12,62107,Turismo
