id_reserva,fecha,departamento,tipo_hotel,habitaciones,ocupadas,tarifa_promedio
1,2024-09-07,Usulutan,Montaña,84,159,241
2,2021-06-06,San Miguel,Rural,195,61,53
3,2023-12-29,Santa Ana,Ciudad,178,48,54
4,2023-01-14,Santa Ana,Montaña,89,39,106
5,2024-06-22,La Paz,Ciudad,181,87,150
6,2022-11-13,La Paz,Playa,89,112,232
7,2021-12-18,Ahuachapan,Playa,64,101,94
8,2023-08-06,San Salvador,Ciudad,124,46,92
9,2023-10-02,Usulutan,Playa,82,64,246
10,2023-07-17,La Paz,Ciudad,102,57,175
11,2023-06-03,San Salvador,Rural,126,24,139
12,2021-02-28,Ahuachapan,Montaña,145,160,35
13,2024-10-13,Sonsonate,Montaña,44,27,63
14,2023-01-30,Santa Ana,Ciudad,57,114,159
15,2024-03-15,Sonsonate,Playa,120,127,50
16,2022-08-10,La Libertad,Playa,49,89,243
17,2023-07-13,San Salvador,Rural,27,25,146
18,2023-08-06,La Libertad,Playa,133,77,127
19,2024-08-13,Santa Ana,Rural,23,55,184
20,2021-10-27,La Paz,Montaña,86,162,225
21,2022-12-05,Ahuachapan,Playa,111,50,36
22,2022-01-15,Usulutan,Rural,149,8,140
23,2024-03-19,San Salvador,Montaña,195,7,243
24,2024-10-03,San Salvador,Playa,186,106,126
25,2021-04-29,Ahuachapan,Montaña,142,177,38
26,2023-05-26,Ahuachapan,Rural,22,129,201
27,2021-07-16,San Miguel,Montaña,57,132,184
28,2022-11-06,Santa Ana,Playa,73,137,240
29,2022-07-12,La Paz,Ciudad,114,155,157
30,2021-04-08,Usulutan,Playa,88,107,46
31,2023-03-24,Usulutan,Montaña,34,83,190
32,2024-05-15,La Paz,Ciudad,22,55,126
33,2024-02-08,San Salvador,Ciudad,149,7,143
34,2022-09-21,Santa Ana,Rural,141,45,49
35,2021-05-31,La Paz,Playa,88,112,44
36,2023-01-26,La Libertad,Playa,159,102,216
37,2022-07-01,San Salvador,Montaña,135,133,131
38,2024-05-14,La Paz,Ciudad,114,15,241
39,2023-12-21,San Miguel,Ciudad,72,149,66
40,2021-12-26,Usulutan,Ciudad,34,56,36
41,2023-06-24,La Paz,Playa,84,169,130
42,2022-10-17,San Salvador,Playa,41,33,119
43,2023-09-24,Santa Ana,Playa,111,164,221
44,2022-11-15,Usulutan,Rural,44,124,200
45,2021-10-27,Ahuachapan,Playa,79,151,245
46,2021-02-13,Sonsonate,Ciudad,162,62,60
47,2022-11-29,La Paz,Playa,62,120,173
48,2022-03-22,Ahuachapan,Ciudad,196,43,117
49,2023-02-24,San Salvador,Rural,111,164,35
50,2022-03-20,Ahuachapan,Rural,127,121,211
51,2021-07-14,Usulutan,Rural,195,11,186
52,2023-10-20,Ahuachapan,Rural,100,131,232
53,2022-03-13,San Miguel,Rural,49,136,58
54,2023-08-16,La Libertad,Rural,197,5,230
55,2021-06-15,La Paz,Montaña,106,92,249
56,2021-11-11,Ahuachapan,Rural,93,93,148
57,2021-06-10,Santa Ana,Playa,98,69,51
58,2022-07-30,La Libertad,Rural,128,169,160
