anio,mes,turistas,ingreso_usd
2021,1,193676,75034127
2021,2,163338,135985231
2021,3,282324,96732112
2021,4,91653,296250754
2021,5,124979,64420115
2021,6,86651,297980263
2021,7,246940,157583524
2021,8,198884,42385832
2021,9,121815,87940292
2021,10,203395,92502699
2021,11,290197,283105832
2021,12,69354,83248529
2022,1,165873,221331454
2022,2,264270,82903606
2022,3,279686,267751373
2022,4,220643,215366806
2022,5,194700,193656597
2022,6,54163,275369916
2022,7,188332,238661450
2022,8,287908,24746666
2022,9,111544,114526344
2022,10,79974,112311850
2022,11,132816,159467608
2022,12,108420,274662230
2023,1,251782,57836906
2023,2,291712,177874019
2023,3,109815,212591065
2023,4,192946,101902517
2023,5,68021,75452798
2023,6,211846,255724083
2023,7,266674,182277489
2023,8,185040,196379613
2023,9,237520,259413508
2023,10,168620,90685260
2023,11,257182,89784139
2023,12,210808,178529715
2024,1,133608,162432906
2024,2,213687,127619010
2024,3,267451,262136897
2024,4,275565,140914554
2024,5,94542,272617767
2024,6,135756,35042441
2024,7,100110,100293467
2024,8,216307,50292790
2024,9,231844,57058713
2024,10,196777,209548235
2024,11,286236,53298703
2024,12,72675,167318118
