id_visita,fecha,pais_origen,via_ingreso,motivo_viaje,departamento_visitado,noches_estadia,gasto_total
1,2024-02-01,Canada,Terrestre,Negocios,Santa Ana,8,2233
2,2024-12-30,Estados Unidos,Terrestre,Familiares,Sonsonate,5,408
3,2023-05-11,Guatemala,Aerea,Familiares,Sonsonate,7,572
4,2024-07-18,Canada,Aerea,Ocio,Sonsonate,2,241
5,2024-02-05,Estados Unidos,Terrestre,Negocios,San Salvador,10,847
6,2024-01-01,Estados Unidos,Aerea,Ocio,San Miguel,10,148
7,2023-11-11,Estados Unidos,Aerea,Salud,La Libertad,7,224
8,2021-05-02,Estados Unidos,Terrestre,Familiares,La Paz,5,483
9,2022-04-12,Guatemala,Aerea,Familiares,La Libertad,6,1629
10,2024-05-23,Estados Unidos,Terrestre,Familiares,La Paz,9,1193
11,2021-11-27,Mexico,Aerea,Familiares,Usulutan,8,699
12,2021-03-29,Guatemala,Aerea,Familiares,La Paz,2,2238
13,2024-10-28,Estados Unidos,Aerea,Familiares,La Paz,10,1872
14,2024-01-29,Honduras,Aerea,Familiares,La Paz,6,566
15,2023-05-22,Estados Unidos,Terrestre,Negocios,Santa Ana,1,2342
16,2021-05-11,Estados Unidos,Terrestre,Ocio,Sonsonate,8,660
17,2024-08-25,Estados Unidos,Aerea,Ocio,Santa Ana,1,564
18,2023-02-09,Guatemala,Terrestre,Familiares,Usulutan,2,1996
19,2021-12-10,Estados Unidos,Terrestre,Familiares,San Salvador,4,1868
20,2024-12-08,Guatemala,Terrestre,Familiares,Santa Ana,10,485
21,2023-03-17,Estados Unidos,Terrestre,Familiares,Usulutan,2,1046
22,2022-01-21,España,Aerea,Familiares,Sonsonate,5,2200
23,2024-04-30,Honduras,Aerea,Familiares,La Libertad,11,1054
24,2023-08-14,Estados Unidos,Terrestre,Salud,Ahuachapan,7,389
25,2021-10-04,Honduras,Terrestre,Ocio,Sonsonate,7,1433
26,2024-03-30,Guatemala,Aerea,Familiares,La Libertad,10,2326
27,2022-04-05,Estados Unidos,Terrestre,Familiares,San Salvador,5,551
28,2024-08-30,Estados Unidos,Aerea,Familiares,Ahuachapan,3,1425
29,2021-01-22,Estados Unidos,Aerea,Familiares,La Paz,5,852
30,2021-09-10,Honduras,Aerea,Familiares,San Miguel,4,1259
31,2023-01-18,Guatemala,Aerea,Familiares,Santa Ana,6,151
32,2023-05-07,Estados Unidos,Terrestre,Ocio,Usulutan,1,1916
33,2022-04-20,Estados Unidos,Aerea,Ocio,San Miguel,1,2091
34,2023-12-19,Guatemala,Aerea,Familiares,La Paz,8,820
35,2022-05-26,Guatemala,Aerea,Negocios,San Salvador,6,2033
36,2022-12-01,Honduras,Aerea,Familiares,San Salvador,9,1472
37,2023-09-03,España,Aerea,Negocios,La Libertad,10,2312
38,2021-07-09,Estados Unidos,Terrestre,Familiares,La Libertad,1,1693
39,2023-08-16,Estados Unidos,Aerea,Familiares,San Miguel,7,1336
40,2022-11-18,Estados Unidos,Terrestre,Familiares,San Salvador,1,1964
41,2023-08-16,Nicaragua,Aerea,Familiares,Usulutan,7,1925
42,2022-07-17,Estados Unidos,Terrestre,Salud,Sonsonate,7,319
43,2024-06-21,Estados Unidos,Aerea,Familiares,La Paz,8,2448
44,2023-04-12,Honduras,Aerea,Ocio,Santa Ana,5,1673
45,2024-02-29,Estados Unidos,Terrestre,Ocio,Usulutan,8,1988
46,2022-10-09,Estados Unidos,Terrestre,Familiares,San Salvador,10,1071
47,2021-01-21,Guatemala,Aerea,Familiares,Santa Ana,5,337
48,2023-04-21,Estados Unidos,Aerea,Ocio,San Salvador,9,2039
49,2021-06-16,Estados Unidos,Aerea,Familiares,La Libertad,11,351
50,2024-07-21,Guatemala,Aerea,Religioso,Usulutan,8,2053
51,2022-01-23,Estados Unidos,Aerea,Ocio,La Libertad,11,852
52,2022-08-24,Estados Unidos,Aerea,Ocio,Ahuachapan,7,210
53,2021-11-12,Costa Rica,Terrestre,Salud,San Salvador,7,800
54,2021-01-14,Estados Unidos,Terrestre,Negocios,Santa Ana,3,2159
55,2021-08-30,Honduras,Aerea,Negocios,La Paz,6,1521
56,2023-02-16,Estados Unidos,Terrestre,Ocio,Usulutan,6,1428
57,2024-10-01,Guatemala,Aerea,Familiares,San Salvador,11,269
58,2022-07-19,Estados Unidos,Aerea,Negocios,San Salvador,5,2244
59,2023-06-17,Estados Unidos,Terrestre,Familiares,Usulutan,2,979
60,2024-09-25,Estados Unidos,Terrestre,Religioso,Ahuachapan,10,205
61,2021-04-02,Guatemala,Terrestre,Ocio,Ahuachapan,7,805
62,2024-10-22,Guatemala,Terrestre,Negocios,Usulutan,5,1237
63,2023-08-14,Estados Unidos,Aerea,Familiares,Sonsonate,2,1073
64,2024-12-22,España,Aerea,Familiares,Ahuachapan,4,2278
65,2022-05-24,Estados Unidos,Terrestre,Ocio,Ahuachapan,11,1312
66,2023-02-15,Guatemala,Aerea,Salud,San Salvador,1,1291
67,2021-02-04,Estados Unidos,Aerea,Negocios,Ahuachapan,8,170
68,2021-07-25,Guatemala,Aerea,Negocios,Ahuachapan,5,1769
69,2024-01-10,Honduras,Terrestre,Ocio,San Miguel,8,1009
70,2024-11-12,Guatemala,Terrestre,Familiares,La Libertad,1,809
71,2023-10-23,Estados Unidos,Aerea,Negocios,Ahuachapan,8,279
72,2023-10-19,Estados Unidos,Terrestre,Familiares,Sonsonate,5,998
73,2024-11-14,Honduras,Terrestre,Familiares,Ahuachapan,7,2082
74,2022-07-20,Estados Unidos,Aerea,Ocio,Sonsonate,3,1484
75,2024-02-04,Estados Unidos,Aerea,Ocio,La Libertad,3,333
76,2022-12-04,Estados Unidos,Aerea,Familiares,Usulutan,9,1487
77,2022-02-06,Estados Unidos,Aerea,Familiares,Ahuachapan,7,1612
78,2022-12-31,Estados Unidos,Terrestre,Negocios,La Libertad,11,795
79,2021-06-11,Mexico,Terrestre,Religioso,San Miguel,6,1919
80,2021-07-21,Honduras,Aerea,Familiares,La Libertad,4,1915
81,2023-09-23,Guatemala,Terrestre,Ocio,Santa Ana,5,1729
82,2021-09-27,Estados Unidos,Aerea,Ocio,San Miguel,8,131
83,2023-03-27,Guatemala,Aerea,Familiares,Usulutan,1,1180
84,2024-07-18,Guatemala,Terrestre,Religioso,Sonsonate,2,456
85,2022-04-01,Guatemala,Aerea,Ocio,La Paz,3,2309
86,2024-06-29,Estados Unidos,Terrestre,Ocio,La Paz,11,1183
87,2023-10-14,España,Aerea,Ocio,San Miguel,5,1647
88,2021-10-23,Guatemala,Terrestre,Ocio,Santa Ana,11,1481
89,2022-12-21,Costa Rica,Aerea,Ocio,La Paz,8,1974
90,2021-12-04,Estados Unidos,Aerea,Ocio,Sonsonate,5,2439
91,2023-05-29,Estados Unidos,Aerea,Negocios,Usulutan,5,2225
92,2023-12-13,Estados Unidos,Terrestre,Familiares,La Libertad,6,345
93,2023-03-03,Honduras,Aerea,Ocio,Ahuachapan,9,2328
94,2021-08-05,Estados Unidos,Aerea,Familiares,Sonsonate,9,846
