id_visita_parque,fecha,parque,pais_origen,gasto_estimado
1,2022-11-07,Puerta del Diablo,Canada,59
2,2024-02-23,Amulapa,Costa Rica,59
3,2021-07-09,Sunset Park,Mexico,74
4,2024-03-21,Puerta del Diablo,España,64
5,2024-03-21,Sunset Park,Costa Rica,29
6,2024-05-30,Amulapa,Nicaragua,79
7,2023-10-21,Apulo,Nicaragua,50
8,2023-12-13,Apulo,Mexico,74
9,2023-11-26,Apulo,España,50
10,2022-06-27,Puerta del Diablo,Nicaragua,27
11,2021-02-16,Cerro Verde,Canada,36
12,2021-08-07,Sunset Park,Nicaragua,47
13,2021-12-28,Sunset Park,Guatemala,25
14,2024-11-15,Puerta del Diablo,Guatemala,76
15,2021-11-03,Cerro Verde,España,72
16,2024-03-25,Puerta del Diablo,Canada,20
17,2023-12-25,Sunset Park,Honduras,63
18,2023-03-04,Cerro Verde,España,53
19,2022-09-09,Apulo,Costa Rica,44
20,2021-09-06,Amulapa,Costa Rica,51
21,2023-02-02,Apulo,Nicaragua,35
22,2022-08-14,Amulapa,Estados Unidos,76
23,2024-01-29,Apulo,Honduras,33
24,2024-09-29,Balboa,Mexico,10
25,2023-12-20,Balboa,Honduras,15
26,2023-05-23,Apulo,Mexico,68
27,2024-07-21,Sunset Park,Costa Rica,29
28,2021-11-23,Cerro Verde,Mexico,72
29,2024-04-02,Sunset Park,Guatemala,45
30,2024-03-15,Balboa,Guatemala,35
31,2023-04-19,Cerro Verde,Guatemala,54
32,2024-08-19,Amulapa,Guatemala,22
33,2024-08-08,Cerro Verde,Costa Rica,38
34,2023-12-06,Puerta del Diablo,Honduras,59
35,2024-05-23,Apulo,Nicaragua,43
36,2024-12-23,Sunset Park,Costa Rica,36
37,2021-09-20,Cerro Verde,Guatemala,75
38,2022-10-07,Amulapa,Nicaragua,26
39,2023-08-30,Amulapa,Honduras,36
40,2024-09-09,Cerro Verde,Honduras,63
41,2023-02-28,Puerta del Diablo,Canada,61
42,2023-03-28,Apulo,Honduras,13
43,2024-06-28,Apulo,Honduras,37
44,2022-12-17,Balboa,Canada,10
45,2022-03-02,Sunset Park,España,19
46,2024-10-23,Amulapa,Estados Unidos,17
47,2022-02-12,Sunset Park,España,18
48,2022-10-27,Puerta del Diablo,España,18
49,2023-10-04,Puerta del Diablo,Costa Rica,78
50,2022-07-01,Puerta del Diablo,Mexico,43
51,2021-03-09,Amulapa,Costa Rica,17
52,2022-08-04,Amulapa,Estados Unidos,43
53,2024-09-10,Apulo,Canada,62
54,2024-03-13,Cerro Verde,Estados Unidos,16
55,2024-02-24,Cerro Verde,Mexico,35
56,2022-03-02,Cerro Verde,Honduras,64
57,2022-04-30,Sunset Park,Guatemala,5
58,2023-12-13,Cerro Verde,Canada,17
59,2021-12-31,Sunset Park,Mexico,39
60,2021-10-29,Balboa,Canada,50
61,2021-10-25,Amulapa,Honduras,13
62,2022-02-06,Balboa,Guatemala,17
63,2021-01-17,Cerro Verde,España,54
64,2022-05-31,Amulapa,Canada,39
65,2022-12-12,Balboa,Mexico,76
66,2021-06-04,Amulapa,Costa Rica,48
67,2024-12-06,Amulapa,Nicaragua,15
68,2021-11-27,Puerta del Diablo,Canada,70
69,2024-06-12,Amulapa,Estados Unidos,52
70,2023-06-01,Balboa,Guatemala,19
71,2021-08-21,Puerta del Diablo,Canada,68
72,2021-02-19,Balboa,Guatemala,44
73,2024-09-23,Cerro Verde,Costa Rica,52
74,2024-07-17,Cerro Verde,Costa Rica,27
75,2024-09-17,Puerta del Diablo,España,19
76,2023-01-18,Amulapa,Mexico,70
77,2024-10-17,Balboa,Canada,27
78,2024-08-01,Puerta del Diablo,Canada,74
79,2021-07-13,Puerta del Diablo,Canada,16
80,2022-09-06,Apulo,Mexico,78
81,2023-11-12,Apulo,Mexico,19
82,2023-06-30,Amulapa,Guatemala,22
83,2024-03-17,Puerta del Diablo,Nicaragua,73
84,2024-10-18,Sunset Park,España,77
85,2023-12-15,Cerro Verde,España,25
86,2023-03-23,Cerro Verde,Costa Rica,33
87,2024-09-07,Amulapa,Guatemala,64
88,2021-09-08,Amulapa,Mexico,56
89,2023-07-14,Amulapa,Canada,43
90,2022-04-12,Cerro Verde,Guatemala,14
91,2024-05-19,Amulapa,Nicaragua,71
92,2022-10-31,Amulapa,Estados Unidos,72
93,2022-01-31,Cerro Verde,Guatemala,53
94,2022-08-25,Apulo,España,46
95,2021-06-22,Apulo,Nicaragua,18
96,2021-08-22,Puerta del Diablo,Mexico,27
97,2021-06-28,Sunset Park,Mexico,35
98,2022-04-19,Amulapa,Canada,42
99,2023-08-11,Puerta del Diablo,España,53
100,2024-12-15,Sunset Park,Estados Unidos,71
101,2023-05-26,Balboa,Canada,17
102,2023-12-02,Sunset Park,Estados Unidos,67
103,2021-08-16,Sunset Park,Nicaragua,23
104,2024-11-08,Amulapa,Mexico,71
105,2022-02-11,Cerro Verde,Honduras,10
106,2024-04-11,Sunset Park,Canada,53
107,2022-05-16,Amulapa,Estados Unidos,57
108,2021-08-02,Sunset Park,Costa Rica,57
109,2023-06-06,Sunset Park,Canada,10
110,2022-04-11,Cerro Verde,Mexico,12
111,2023-09-15,Cerro Verde,Canada,36
112,2024-11-17,Puerta del Diablo,Canada,39
113,2023-07-20,Amulapa,Honduras,6
114,2022-05-10,Apulo,Mexico,20
115,2022-02-23,Cerro Verde,Nicaragua,41
116,2024-02-05,Apulo,Costa Rica,48
117,2024-01-14,Amulapa,España,68
118,2022-05-04,Cerro Verde,Mexico,14
119,2021-03-05,Amulapa,Guatemala,61
120,2021-06-30,Puerta del Diablo,Honduras,17
121,2021-09-13,Sunset Park,Canada,62
122,2022-06-21,Balboa,Honduras,42
123,2024-04-05,Amulapa,Canada,61
124,2021-01-08,Amulapa,Mexico,30
125,2022-05-05,Cerro Verde,Mexico,72
126,2023-12-14,Puerta del Diablo,Costa Rica,19
127,2021-05-05,Balboa,Costa Rica,48
128,2023-01-29,Amulapa,Canada,42
129,2024-12-17,Amulapa,España,61
130,2023-07-28,Balboa,España,31
131,2022-05-16,Sunset Park,España,28
132,2023-08-08,Sunset Park,Honduras,31
133,2021-03-25,Amulapa,España,27
134,2022-06-03,Sunset Park,Mexico,17
135,2024-12-28,Cerro Verde,Honduras,8
136,2021-07-22,Sunset Park,Canada,63
137,2022-08-22,Puerta del Diablo,Costa Rica,37
138,2022-07-10,Sunset Park,Honduras,35
139,2021-10-12,Cerro Verde,Nicaragua,70
140,2024-09-28,Amulapa,Honduras,31
141,2024-08-14,Cerro Verde,Mexico,79
142,2024-08-21,Apulo,Mexico,32
143,2022-12-01,Balboa,Mexico,38
144,2021-02-16,Amulapa,Mexico,70
145,2022-06-12,Sunset Park,Honduras,44
146,2023-01-20,Balboa,Canada,56
147,2023-08-02,Cerro Verde,Costa Rica,14
148,2022-12-08,Puerta del Diablo,Honduras,18
149,2024-03-30,Sunset Park,Costa Rica,7
150,2023-10-24,Balboa,Guatemala,58
151,2023-05-30,Amulapa,Guatemala,77
152,2023-01-01,Apulo,Estados Unidos,34
153,2021-01-08,Cerro Verde,España,7
154,2023-02-03,Amulapa,Guatemala,21
155,2022-08-18,Amulapa,España,53
156,2021-04-18,Puerta del Diablo,España,58
157,2021-03-03,Amulapa,Costa Rica,56
158,2023-07-04,Balboa,Mexico,17
159,2021-07-07,Puerta del Diablo,Estados Unidos,26
160,2021-04-19,Amulapa,Guatemala,50
161,2024-09-12,Cerro Verde,Mexico,19
162,2024-02-09,Puerta del Diablo,Costa Rica,12
163,2021-04-21,Puerta del Diablo,Estados Unidos,51
164,2021-03-31,Apulo,España,64
165,2024-06-22,Balboa,España,62
166,2022-03-11,Balboa,Guatemala,43
167,2023-10-26,Balboa,Mexico,26
168,2023-03-30,Balboa,Nicaragua,35
169,2022-07-23,Balboa,Nicaragua,48
170,2022-11-22,Cerro Verde,Honduras,50
171,2023-05-07,Cerro Verde,Honduras,23
172,2021-08-11,Apulo,Estados Unidos,19
173,2024-12-08,Amulapa,Mexico,52
174,2023-12-20,Puerta del Diablo,Costa Rica,40
175,2021-03-25,Cerro Verde,Honduras,38
176,2024-12-22,Amulapa,Canada,18
177,2023-05-09,Apulo,Guatemala,73
178,2023-09-25,Amulapa,Costa Rica,69
179,2023-11-27,Cerro Verde,Canada,39
180,2021-11-14,Apulo,España,66
181,2021-10-11,Amulapa,Estados Unidos,54
182,2022-11-25,Amulapa,Honduras,29
183,2022-04-04,Amulapa,Mexico,21
184,2021-09-06,Balboa,Canada,65
185,2023-03-23,Puerta del Diablo,Guatemala,74
186,2024-09-07,Sunset Park,Canada,52
187,2022-02-07,Cerro Verde,Guatemala,25
188,2022-03-28,Puerta del Diablo,Guatemala,64
189,2021-07-13,Sunset Park,España,78
190,2023-11-18,Apulo,Costa Rica,48
191,2022-12-09,Puerta del Diablo,Mexico,44
192,2023-03-20,Amulapa,Nicaragua,50
193,2021-04-14,Cerro Verde,Guatemala,19
194,2021-09-25,Cerro Verde,Nicaragua,27
195,2022-04-19,Cerro Verde,Costa Rica,36
196,2021-03-12,Balboa,Canada,46
197,2023-11-21,Cerro Verde,Costa Rica,56
198,2023-07-15,Cerro Verde,Estados Unidos,66
199,2024-08-16,Cerro Verde,Guatemala,54
200,2022-03-11,Cerro Verde,Mexico,72
201,2023-10-01,Cerro Verde,Canada,44
202,2022-07-02,Amulapa,España,29
203,2021-07-06,Apulo,Mexico,24
204,2024-08-26,Cerro Verde,Costa Rica,28
205,2024-04-16,Amulapa,Guatemala,27
206,2024-02-16,Amulapa,Honduras,49
207,2021-07-26,Balboa,Honduras,10
208,2023-12-28,Amulapa,Nicaragua,73
209,2024-09-13,Amulapa,España,69
210,2022-11-28,Amulapa,Guatemala,76
211,2023-07-21,Cerro Verde,Nicaragua,46
212,2024-11-09,Apulo,Canada,63
213,2022-07-23,Balboa,Guatemala,13
214,2021-07-09,Apulo,Nicaragua,21
215,2021-07-25,Sunset Park,Estados Unidos,74
216,2023-05-20,Puerta del Diablo,Costa Rica,48
217,2022-08-20,Sunset Park,Canada,78
218,2023-05-03,Sunset Park,Costa Rica,10
219,2022-07-09,Balboa,Mexico,5
220,2022-09-17,Puerta del Diablo,Honduras,28
221,2022-07-03,Puerta del Diablo,Honduras,12
222,2022-03-11,Amulapa,Estados Unidos,34
223,2022-12-17,Sunset Park,Mexico,48
224,2022-03-24,Amulapa,España,6
225,2022-01-17,Puerta del Diablo,Honduras,12
226,2021-12-30,Sunset Park,Estados Unidos,6
227,2021-11-05,Amulapa,Honduras,27
228,2021-07-04,Puerta del Diablo,Canada,21
229,2021-06-28,Apulo,Honduras,14
230,2024-12-13,Apulo,Guatemala,21
231,2023-05-22,Sunset Park,Costa Rica,79
232,2023-09-28,Cerro Verde,Estados Unidos,73
233,2022-07-03,Sunset Park,Canada,64
234,2022-01-12,Apulo,Canada,45
235,2024-01-07,Balboa,Mexico,10
236,2021-10-03,Cerro Verde,España,77
237,2024-12-25,Amulapa,Mexico,28
238,2024-09-01,Puerta del Diablo,Honduras,10
239,2022-02-27,Balboa,Guatemala,69
240,2021-03-10,Balboa,Costa Rica,32
241,2022-04-24,Puerta del Diablo,Estados Unidos,37
242,2023-03-28,Sunset Park,España,45
243,2022-10-17,Apulo,Mexico,39
244,2023-03-04,Cerro Verde,Nicaragua,10
